FECHA;CODIGO AGENCIA;AGENCIA;CODIGO PRODUCTO;PRODUCTO;MONTO
31/12/2021;A1;LA PAZ;AC;ACCESORIOS;1423
31/12/2021;A1;LA PAZ;CC;COMPUTACIÓN;824
31/12/2021;A1;LA PAZ;CO;COSMÉTICOS;1090
31/12/2021;A1;LA PAZ;CZ;CALZADOS;944
31/12/2021;A1;LA PAZ;DD;DEPORTES;443
31/12/2021;A1;LA PAZ;EE;ELECTRODOMÉSTICOS;467
31/12/2021;A1;LA PAZ;HO;PARA EL HOGAR;1271
31/12/2021;A1;LA PAZ;JU;JUGUETES;477
31/12/2021;A1;LA PAZ;LI;LIMPIEZA;1092
31/12/2021;A1;LA PAZ;MM;MUEBLES;540
31/12/2021;A1;LA PAZ;RM;ROPA PARA MUJER;503
31/12/2021;A1;LA PAZ;RN;ROPA PARA NIÑOS;841
31/12/2021;A1;LA PAZ;RV;ROPA PARA VARÓN;481
31/12/2021;A1;LA PAZ;SM;SMARTPHONES;989
31/12/2021;A1;LA PAZ;VA;VARIOS;1080
31/12/2021;A2;COCHABAMBA;AC;ACCESORIOS;612
31/12/2021;A2;COCHABAMBA;CC;COMPUTACIÓN;1176
31/12/2021;A2;COCHABAMBA;CO;COSMÉTICOS;1306
31/12/2021;A2;COCHABAMBA;CZ;CALZADOS;1512
31/12/2021;A2;COCHABAMBA;DD;DEPORTES;1215
31/12/2021;A2;COCHABAMBA;EE;ELECTRODOMÉSTICOS;1465
31/12/2021;A2;COCHABAMBA;HO;PARA EL HOGAR;381
31/12/2021;A2;COCHABAMBA;JU;JUGUETES;959
31/12/2021;A2;COCHABAMBA;LI;LIMPIEZA;790
31/12/2021;A2;COCHABAMBA;MM;MUEBLES;1255
31/12/2021;A2;COCHABAMBA;RM;ROPA PARA MUJER;1293
31/12/2021;A2;COCHABAMBA;RN;ROPA PARA NIÑOS;999
31/12/2021;A2;COCHABAMBA;RV;ROPA PARA VARÓN;1031
31/12/2021;A2;COCHABAMBA;SM;SMARTPHONES;800
31/12/2021;A2;COCHABAMBA;VA;VARIOS;1523
31/12/2021;A3;SANTA CRUZ;AC;ACCESORIOS;1184
31/12/2021;A3;SANTA CRUZ;CC;COMPUTACIÓN;843
31/12/2021;A3;SANTA CRUZ;CO;COSMÉTICOS;1186
31/12/2021;A3;SANTA CRUZ;CZ;CALZADOS;638
31/12/2021;A3;SANTA CRUZ;DD;DEPORTES;1085
31/12/2021;A3;SANTA CRUZ;EE;ELECTRODOMÉSTICOS;1236
31/12/2021;A3;SANTA CRUZ;HO;PARA EL HOGAR;1117
31/12/2021;A3;SANTA CRUZ;JU;JUGUETES;1247
31/12/2021;A3;SANTA CRUZ;LI;LIMPIEZA;357
31/12/2021;A3;SANTA CRUZ;MM;MUEBLES;380
31/12/2021;A3;SANTA CRUZ;RM;ROPA PARA MUJER;1475
31/12/2021;A3;SANTA CRUZ;RN;ROPA PARA NIÑOS;1564
31/12/2021;A3;SANTA CRUZ;RV;ROPA PARA VARÓN;813
31/12/2021;A3;SANTA CRUZ;SM;SMARTPHONES;1140
31/12/2021;A3;SANTA CRUZ;VA;VARIOS;1416
31/12/2021;A4;TARIJA;AC;ACCESORIOS;1393
31/12/2021;A4;TARIJA;CC;COMPUTACIÓN;1460
31/12/2021;A4;TARIJA;CO;COSMÉTICOS;1067
31/12/2021;A4;TARIJA;CZ;CALZADOS;1505
31/12/2021;A4;TARIJA;DD;DEPORTES;663
31/12/2021;A4;TARIJA;EE;ELECTRODOMÉSTICOS;836
31/12/2021;A4;TARIJA;HO;PARA EL HOGAR;915
31/12/2021;A4;TARIJA;JU;JUGUETES;1463
31/12/2021;A4;TARIJA;LI;LIMPIEZA;1236
31/12/2021;A4;TARIJA;MM;MUEBLES;691
31/12/2021;A4;TARIJA;RM;ROPA PARA MUJER;1356
31/12/2021;A4;TARIJA;RN;ROPA PARA NIÑOS;1418
31/12/2021;A4;TARIJA;RV;ROPA PARA VARÓN;834
31/12/2021;A4;TARIJA;SM;SMARTPHONES;1229
31/12/2021;A4;TARIJA;VA;VARIOS;1582
31/12/2021;A5;SUCRE;AC;ACCESORIOS;306
31/12/2021;A5;SUCRE;CC;COMPUTACIÓN;1524
31/12/2021;A5;SUCRE;CO;COSMÉTICOS;745
31/12/2021;A5;SUCRE;CZ;CALZADOS;376
31/12/2021;A5;SUCRE;DD;DEPORTES;707
31/12/2021;A5;SUCRE;EE;ELECTRODOMÉSTICOS;437
31/12/2021;A5;SUCRE;HO;PARA EL HOGAR;570
31/12/2021;A5;SUCRE;JU;JUGUETES;1312
31/12/2021;A5;SUCRE;LI;LIMPIEZA;1106
31/12/2021;A5;SUCRE;MM;MUEBLES;1642
31/12/2021;A5;SUCRE;RM;ROPA PARA MUJER;643
31/12/2021;A5;SUCRE;RN;ROPA PARA NIÑOS;1371
31/12/2021;A5;SUCRE;RV;ROPA PARA VARÓN;736
31/12/2021;A5;SUCRE;SM;SMARTPHONES;701
31/12/2021;A5;SUCRE;VA;VARIOS;1638
31/12/2021;A6;ORURO;AC;ACCESORIOS;1527
31/12/2021;A6;ORURO;CC;COMPUTACIÓN;1390
31/12/2021;A6;ORURO;CO;COSMÉTICOS;383
31/12/2021;A6;ORURO;CZ;CALZADOS;698
31/12/2021;A6;ORURO;DD;DEPORTES;523
31/12/2021;A6;ORURO;EE;ELECTRODOMÉSTICOS;407
31/12/2021;A6;ORURO;HO;PARA EL HOGAR;649
31/12/2021;A6;ORURO;JU;JUGUETES;546
31/12/2021;A6;ORURO;LI;LIMPIEZA;883
31/12/2021;A6;ORURO;MM;MUEBLES;576
31/12/2021;A6;ORURO;RM;ROPA PARA MUJER;1245
31/12/2021;A6;ORURO;RN;ROPA PARA NIÑOS;1376
31/12/2021;A6;ORURO;RV;ROPA PARA VARÓN;504
31/12/2021;A6;ORURO;SM;SMARTPHONES;597
31/12/2021;A6;ORURO;VA;VARIOS;1219
31/12/2021;A7;POTOSÍ;AC;ACCESORIOS;333
31/12/2021;A7;POTOSÍ;CC;COMPUTACIÓN;806
31/12/2021;A7;POTOSÍ;CO;COSMÉTICOS;1008
31/12/2021;A7;POTOSÍ;CZ;CALZADOS;1517
31/12/2021;A7;POTOSÍ;DD;DEPORTES;389
31/12/2021;A7;POTOSÍ;EE;ELECTRODOMÉSTICOS;776
31/12/2021;A7;POTOSÍ;HO;PARA EL HOGAR;1350
31/12/2021;A7;POTOSÍ;JU;JUGUETES;1086
31/12/2021;A7;POTOSÍ;LI;LIMPIEZA;1256
31/12/2021;A7;POTOSÍ;MM;MUEBLES;1299
31/12/2021;A7;POTOSÍ;RM;ROPA PARA MUJER;356
31/12/2021;A7;POTOSÍ;RN;ROPA PARA NIÑOS;1650
31/12/2021;A7;POTOSÍ;RV;ROPA PARA VARÓN;463
31/12/2021;A7;POTOSÍ;SM;SMARTPHONES;989
31/12/2021;A7;POTOSÍ;VA;VARIOS;685
31/12/2021;A8;TRINIDAD;AC;ACCESORIOS;933
31/12/2021;A8;TRINIDAD;CC;COMPUTACIÓN;1050
31/12/2021;A8;TRINIDAD;CO;COSMÉTICOS;1462
31/12/2021;A8;TRINIDAD;CZ;CALZADOS;776
31/12/2021;A8;TRINIDAD;DD;DEPORTES;317
31/12/2021;A8;TRINIDAD;EE;ELECTRODOMÉSTICOS;373
31/12/2021;A8;TRINIDAD;HO;PARA EL HOGAR;943
31/12/2021;A8;TRINIDAD;JU;JUGUETES;408
31/12/2021;A8;TRINIDAD;LI;LIMPIEZA;1374
31/12/2021;A8;TRINIDAD;MM;MUEBLES;1550
31/12/2021;A8;TRINIDAD;RM;ROPA PARA MUJER;415
31/12/2021;A8;TRINIDAD;RN;ROPA PARA NIÑOS;426
31/12/2021;A8;TRINIDAD;RV;ROPA PARA VARÓN;1429
31/12/2021;A8;TRINIDAD;SM;SMARTPHONES;1140
31/12/2021;A8;TRINIDAD;VA;VARIOS;1479
31/12/2021;A9;COBIJA;AC;ACCESORIOS;905
31/12/2021;A9;COBIJA;CC;COMPUTACIÓN;408
31/12/2021;A9;COBIJA;CO;COSMÉTICOS;1428
31/12/2021;A9;COBIJA;CZ;CALZADOS;312
31/12/2021;A9;COBIJA;DD;DEPORTES;456
31/12/2021;A9;COBIJA;EE;ELECTRODOMÉSTICOS;856
31/12/2021;A9;COBIJA;HO;PARA EL HOGAR;1096
31/12/2021;A9;COBIJA;JU;JUGUETES;389
31/12/2021;A9;COBIJA;LI;LIMPIEZA;708
31/12/2021;A9;COBIJA;MM;MUEBLES;882
31/12/2021;A9;COBIJA;RM;ROPA PARA MUJER;1480
31/12/2021;A9;COBIJA;RN;ROPA PARA NIÑOS;747
31/12/2021;A9;COBIJA;RV;ROPA PARA VARÓN;911
31/12/2021;A9;COBIJA;SM;SMARTPHONES;611
31/12/2021;A9;COBIJA;VA;VARIOS;516
30/12/2021;A1;LA PAZ;AC;ACCESORIOS;1361
30/12/2021;A1;LA PAZ;CC;COMPUTACIÓN;644
30/12/2021;A1;LA PAZ;CO;COSMÉTICOS;1452
30/12/2021;A1;LA PAZ;CZ;CALZADOS;1453
30/12/2021;A1;LA PAZ;DD;DEPORTES;811
30/12/2021;A1;LA PAZ;EE;ELECTRODOMÉSTICOS;737
30/12/2021;A1;LA PAZ;HO;PARA EL HOGAR;1259
30/12/2021;A1;LA PAZ;JU;JUGUETES;796
30/12/2021;A1;LA PAZ;LI;LIMPIEZA;1613
30/12/2021;A1;LA PAZ;MM;MUEBLES;710
30/12/2021;A1;LA PAZ;RM;ROPA PARA MUJER;903
30/12/2021;A1;LA PAZ;RN;ROPA PARA NIÑOS;527
30/12/2021;A1;LA PAZ;RV;ROPA PARA VARÓN;421
30/12/2021;A1;LA PAZ;SM;SMARTPHONES;1500
30/12/2021;A1;LA PAZ;VA;VARIOS;473
30/12/2021;A2;COCHABAMBA;AC;ACCESORIOS;1349
30/12/2021;A2;COCHABAMBA;CC;COMPUTACIÓN;1100
30/12/2021;A2;COCHABAMBA;CO;COSMÉTICOS;318
30/12/2021;A2;COCHABAMBA;CZ;CALZADOS;1393
30/12/2021;A2;COCHABAMBA;DD;DEPORTES;1346
30/12/2021;A2;COCHABAMBA;EE;ELECTRODOMÉSTICOS;430
30/12/2021;A2;COCHABAMBA;HO;PARA EL HOGAR;818
30/12/2021;A2;COCHABAMBA;JU;JUGUETES;868
30/12/2021;A2;COCHABAMBA;LI;LIMPIEZA;1371
30/12/2021;A2;COCHABAMBA;MM;MUEBLES;1637
30/12/2021;A2;COCHABAMBA;RM;ROPA PARA MUJER;1378
30/12/2021;A2;COCHABAMBA;RN;ROPA PARA NIÑOS;385
30/12/2021;A2;COCHABAMBA;RV;ROPA PARA VARÓN;1187
30/12/2021;A2;COCHABAMBA;SM;SMARTPHONES;563
30/12/2021;A2;COCHABAMBA;VA;VARIOS;1524
30/12/2021;A3;SANTA CRUZ;AC;ACCESORIOS;722
30/12/2021;A3;SANTA CRUZ;CC;COMPUTACIÓN;496
30/12/2021;A3;SANTA CRUZ;CO;COSMÉTICOS;1530
30/12/2021;A3;SANTA CRUZ;CZ;CALZADOS;913
30/12/2021;A3;SANTA CRUZ;DD;DEPORTES;1119
30/12/2021;A3;SANTA CRUZ;EE;ELECTRODOMÉSTICOS;1367
30/12/2021;A3;SANTA CRUZ;HO;PARA EL HOGAR;1561
30/12/2021;A3;SANTA CRUZ;JU;JUGUETES;1521
30/12/2021;A3;SANTA CRUZ;LI;LIMPIEZA;1487
30/12/2021;A3;SANTA CRUZ;MM;MUEBLES;645
30/12/2021;A3;SANTA CRUZ;RM;ROPA PARA MUJER;1242
30/12/2021;A3;SANTA CRUZ;RN;ROPA PARA NIÑOS;1527
30/12/2021;A3;SANTA CRUZ;RV;ROPA PARA VARÓN;700
30/12/2021;A3;SANTA CRUZ;SM;SMARTPHONES;512
30/12/2021;A3;SANTA CRUZ;VA;VARIOS;1117
30/12/2021;A4;TARIJA;AC;ACCESORIOS;1644
30/12/2021;A4;TARIJA;CC;COMPUTACIÓN;930
30/12/2021;A4;TARIJA;CO;COSMÉTICOS;328
30/12/2021;A4;TARIJA;CZ;CALZADOS;1027
30/12/2021;A4;TARIJA;DD;DEPORTES;1552
30/12/2021;A4;TARIJA;EE;ELECTRODOMÉSTICOS;1209
30/12/2021;A4;TARIJA;HO;PARA EL HOGAR;958
30/12/2021;A4;TARIJA;JU;JUGUETES;883
30/12/2021;A4;TARIJA;LI;LIMPIEZA;761
30/12/2021;A4;TARIJA;MM;MUEBLES;374
30/12/2021;A4;TARIJA;RM;ROPA PARA MUJER;438
30/12/2021;A4;TARIJA;RN;ROPA PARA NIÑOS;669
30/12/2021;A4;TARIJA;RV;ROPA PARA VARÓN;477
30/12/2021;A4;TARIJA;SM;SMARTPHONES;703
30/12/2021;A4;TARIJA;VA;VARIOS;1504
30/12/2021;A5;SUCRE;AC;ACCESORIOS;1615
30/12/2021;A5;SUCRE;CC;COMPUTACIÓN;1470
30/12/2021;A5;SUCRE;CO;COSMÉTICOS;630
30/12/2021;A5;SUCRE;CZ;CALZADOS;822
30/12/2021;A5;SUCRE;DD;DEPORTES;514
30/12/2021;A5;SUCRE;EE;ELECTRODOMÉSTICOS;702
30/12/2021;A5;SUCRE;HO;PARA EL HOGAR;1541
30/12/2021;A5;SUCRE;JU;JUGUETES;912
30/12/2021;A5;SUCRE;LI;LIMPIEZA;312
30/12/2021;A5;SUCRE;MM;MUEBLES;960
30/12/2021;A5;SUCRE;RM;ROPA PARA MUJER;1346
30/12/2021;A5;SUCRE;RN;ROPA PARA NIÑOS;920
30/12/2021;A5;SUCRE;RV;ROPA PARA VARÓN;1305
30/12/2021;A5;SUCRE;SM;SMARTPHONES;700
30/12/2021;A5;SUCRE;VA;VARIOS;486
30/12/2021;A6;ORURO;AC;ACCESORIOS;1414
30/12/2021;A6;ORURO;CC;COMPUTACIÓN;559
30/12/2021;A6;ORURO;CO;COSMÉTICOS;1646
30/12/2021;A6;ORURO;CZ;CALZADOS;1380
30/12/2021;A6;ORURO;DD;DEPORTES;1227
30/12/2021;A6;ORURO;EE;ELECTRODOMÉSTICOS;889
30/12/2021;A6;ORURO;HO;PARA EL HOGAR;909
30/12/2021;A6;ORURO;JU;JUGUETES;1069
30/12/2021;A6;ORURO;LI;LIMPIEZA;1359
30/12/2021;A6;ORURO;MM;MUEBLES;1220
30/12/2021;A6;ORURO;RM;ROPA PARA MUJER;1277
30/12/2021;A6;ORURO;RN;ROPA PARA NIÑOS;1043
30/12/2021;A6;ORURO;RV;ROPA PARA VARÓN;1157
30/12/2021;A6;ORURO;SM;SMARTPHONES;1547
30/12/2021;A6;ORURO;VA;VARIOS;346
30/12/2021;A7;POTOSÍ;AC;ACCESORIOS;790
30/12/2021;A7;POTOSÍ;CC;COMPUTACIÓN;1115
30/12/2021;A7;POTOSÍ;CO;COSMÉTICOS;664
30/12/2021;A7;POTOSÍ;CZ;CALZADOS;412
